,id,smiles,kras_spr,perk_ic50,binding_ic50,selfies
21,22,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCCN3CCOCC3)c2F)c1,19.6,50.3,1888.7,[O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Branch1][C][C][=Branch2][Ring2][=Branch2][=N][C][=C][Branch1][Ring1][C][N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=N][C][=Ring1][N][O][C][C][C][N][C][C][O][C][C][Ring1][=Branch1][C][=Ring2][Ring1][Branch2][F][=C][Ring2][Ring2][#Branch1]
22,23,CN1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c(CCC4)c4ccc3)c3F)c3n2)CCC1,807.2,,,[C][N][C@H1][Branch2][Branch1][#Branch1][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][#Branch1][C][=N][C][Branch1][S][C][=C][Branch1][Ring2][C][C][C][C][Ring1][C][=C][C][=C][Ring1][=Branch2][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][N][C][C][C][Ring2][Ring2][Ring1]
23,24,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCCN3[C@@H](C4)CO[C@@H]4C3)c2F)c1,5,7.9,2890,[O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Branch1][#Branch1][C][=Branch2][Ring2][=C][=N][C][=C][Branch1][Ring1][C][N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=N][C][=Ring1][N][O][C][C][C][N][C@@H1][Branch1][C][C][C][O][C@@H1][Ring1][Ring2][C][Ring1][#Branch1][C][=Ring2][Ring1][=Branch2][F][=C][Ring2][Ring2][Branch2]
24,25,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCN3CCOCC3)c2F)c1,269.7,338.4,,[O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Ring2][P][C][=Branch2][Ring2][Branch2][=N][C][=C][Branch1][Ring1][C][N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=N][C][=Ring1][N][O][C][C][N][C][C][O][C][C][Ring1][=Branch1][C][=Ring2][Ring1][#Branch1][F][=C][Ring2][Ring2][=Branch1]
25,26,Oc1cc2ccccc2c(-c(ncc(c2n3)c(N4CC(CC5)NC5C4)nc3OCCN3[C@@H](C4)CO[C@@H]4C3)c2F)c1,27.9,42.1,4282.7,[O][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch2][Branch1][=Branch1][C][=Branch2][Ring2][=N][=N][C][=C][Branch1][Ring1][C][N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=N][C][=Ring1][N][O][C][C][N][C@@H1][Branch1][C][C][C][O][C@@H1][Ring1][Ring2][C][Ring1][#Branch1][C][=Ring2][Ring1][Branch2][F][=C][Ring2][Ring2][#Branch1]
26,27,CC(C1N(C)CCC1)Oc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,25.9,,1275.8,[C][C][Branch1][O][C][N][Branch1][C][C][C][C][C][Ring1][=Branch1][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=C]
27,28,CN(C1)[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)C[C@H]1C(F)(F)F,58.7,,11736,[C][N][Branch1][C][C][C@H1][Branch2][Branch1][#Branch2][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=C][C][C@H1][Ring2][Ring2][Ring2][C][Branch1][C][F][Branch1][C][F][F]
28,29,CC(C)N1[C@H](COc2nc(N3CC(CC4)NC4C3)c(cnc(-c3c4c(Cl)cccc4ccc3)c3F)c3n2)CCC1,169.6,160.4,13630.9,[C][C][Branch1][C][C][N][C@H1][Branch2][Branch1][#Branch2][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][Cl][=C][C][=C][C][Ring1][#Branch1][=C][C][=C][Ring1][O][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=C][C][C][C][Ring2][Ring2][Branch1]
29,30,Cn1c(cccc2)c2nc1CCOc1nc(N2CC(CC3)NC3C2)c(cnc(-c2cc(O)cc3ccccc23)c2F)c2n1,179.5,417.6,9600.4,[C][N][C][=Branch1][Branch1][=C][C][=C][C][C][=Ring1][C][N][=C][Ring1][=Branch2][C][C][O][C][=N][C][Branch1][#C][N][C][C][Branch1][Ring1][C][C][N][C][Ring1][Ring1][C][Ring1][Branch2][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][=C]
30,31,CN1[C@H](COc2nc(N3CC([C@@H](C4)O)NC4C3)c(cnc(-c3cc(O)cc4ccccc34)c3F)c3n2)CCC1,,1.6,2425.6,[C][N][C@H1][Branch2][Branch1][=C][C][O][C][=N][C][Branch2][Ring1][C][N][C][C][Branch1][=Branch1][C@@H1][Branch1][C][C][O][N][C][Ring1][Ring2][C][Ring1][=Branch2][=C][Branch2][Ring1][#Branch2][C][=N][C][Branch2][Ring1][C][C][=C][C][Branch1][C][O][=C][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][=C][F][C][Ring1][Ring1][=N][Ring2][Ring1][#C][C][C][C][Ring2][Ring2][=Branch1]
